split,event_root,capacity_blocks,capacity_fraction,slots_per_layer_base,slots_remainder,logical_blocks,lfru_transferred_blocks,forced_admit_belady_transferred_blocks,bypass_belady_transferred_blocks,lfru_miss_fraction,forced_admit_belady_miss_fraction,bypass_belady_miss_fraction,total_gap_blocks,total_gap_fraction_of_lfru,admission_contribution_blocks,future_victim_contribution_blocks,admission_share_of_total_gap,future_victim_share_of_total_gap
discovery_matched,cache-events-controller-probe-d1-diverse-matched-stagger-fcfs-b2-v1,2458,0.4000651041666667,51,10,8436480,1103946,560846,541886,0.13085386322257625,0.06647867357001973,0.06423129077529965,562060,0.50913722229167,18960,543100,0.0337330534106679,0.9662669465893321
confirmatory_heldout,cache-events-controller-probe-d1-diverse-heldout-stagger-fcfs-b2-v1,2458,0.4000651041666667,51,10,9035136,1160555,595307,575382,0.12844909030699703,0.0658879954878377,0.06368271601003017,585173,0.504218240410838,19925,565248,0.03404975964372929,0.9659502403562708
