condition,permutation_seed,best_causal_policy,best_causal_effective_miss,belady_effective_miss,recoverable_gap,mean_union_to_capacity,event_union_std
original,,lfru,0.18010819095584174,0.099329329409098,0.44850187611150233,0.8236582566183166,7.288097520164589
step_permutation_00,20260801,lfu,0.19165090597418788,0.13232695113831158,0.3095417396245767,0.8236582566183166,7.28809752016459
step_permutation_01,20260801,lfu,0.19160829455140466,0.13247791732188646,0.30860030025294494,0.8236582566183166,7.288097520164589
step_permutation_02,20260801,lfu,0.1916141605394761,0.13250525503987987,0.3084787957903492,0.8236582566183166,7.28809752016459
step_permutation_03,20260801,lfu,0.19162677794778074,0.13242634089846572,0.3089361397364174,0.8236582566183166,7.288097520164589
step_permutation_04,20260801,lfu,0.19163673905960021,0.13233613749698953,0.30944276057717635,0.8236582566183166,7.28809752016459
step_permutation_05,20260801,lfu,0.191669389370564,0.1321308279144885,0.310631560165127,0.8236582566183166,7.28809752016459
step_permutation_06,20260801,lfu,0.1915785218949665,0.1322333166872087,0.3097696162427539,0.8236582566183166,7.28809752016459
step_permutation_07,20260801,lfu,0.19168687665575815,0.13228356496238683,0.30989764521048074,0.8236582566183166,7.288097520164589
step_permutation_08,20260801,lfu,0.19163928467706517,0.13225755539263603,0.3098619856805162,0.8236582566183166,7.288097520164589
step_permutation_09,20260801,lfu,0.19164725356652074,0.1325152161516993,0.30854622914956986,0.8236582566183166,7.288097520164589
step_permutation_10,20260801,lfu,0.1917014862864267,0.13238550034000596,0.3094184979755192,0.8236582566183166,7.288097520164589
step_permutation_11,20260801,lfu,0.191599772266848,0.13221892841458058,0.3099212653006996,0.8236582566183166,7.288097520164589
step_permutation_12,20260801,lfu,0.19165677196225933,0.1325041482496777,0.3086383179000314,0.8236582566183166,7.288097520164589
step_permutation_13,20260801,lfu,0.19165466906087522,0.13254200047459164,0.3084332298082842,0.8236582566183166,7.28809752016459
step_permutation_14,20260801,lfu,0.19166640103701815,0.13254974800600677,0.3084351389244987,0.8236582566183166,7.28809752016459
step_permutation_15,20260801,lfu,0.1915729879439557,0.13258527597149616,0.30791247036203384,0.8236582566183166,7.288097520164589
step_permutation_16,20260801,lfu,0.19163452547919588,0.13245201843115587,0.3088300863325641,0.8236582566183166,7.288097520164589
step_permutation_17,20260801,lfu,0.19166695443211923,0.13258804294700158,0.3082373362698839,0.8236582566183166,7.28809752016459
step_permutation_18,20260801,lfu,0.191603867390596,0.13235727718985082,0.3092139579832564,0.8236582566183166,7.288097520164589
step_permutation_19,20260801,lfu,0.19163364004703415,0.1323735470058226,0.3092363795138833,0.8236582566183166,7.288097520164589
