policy,semantics,miss_ratio,effective_miss_fraction,effective_miss_percent,transferred_blocks
lru,sequential,0.3589215451908229,0.24594117897063197,24.594117897063196,2222112
lru,event_atomic,0.28167880240604226,0.19301270063892784,19.301270063892783,1743896
lfu,sequential,0.28895540035018125,0.19799879049966707,19.799879049966705,1788946
lfu,event_atomic,0.2793622437442256,0.1914253421309873,19.14253421309873,1729554
lfru,sequential,0.3377357423906653,0.23142418664201622,23.14241866420162,2090949
lfru,event_atomic,0.26284622392215895,0.18010819095584174,18.010819095584175,1627302
least_stale,sequential,0.3589215451908229,0.24594117897063197,24.594117897063196,2222112
least_stale,event_atomic,0.28167880240604226,0.19301270063892784,19.301270063892783,1743896
belady,sequential,0.15119139148581506,0.10359976872511936,10.359976872511936,936038
belady,event_atomic,0.14495919936424662,0.099329329409098,9.9329329409098,897454
static,sequential,0.27835062703114805,0.1910042084590647,19.10042084590647,1725749
static,event_atomic,0.27835062703114805,0.1910042084590647,19.10042084590647,1725749
