scheduler_step,layer,candidates,optimal_set_size,never_again_candidates,pred_hits_optimal,random_hits_optimal,lru_hits_optimal,lfru_hits_optimal,spearman_all,spearman_finite,regret_pred,regret_random,regret_lru,regret_lfru
3,37,51,1,0,0,0,0,0,-0.15248032576388523,-0.15248032576388523,0.00882930019620667,0.00882930019620667,0.0068672334859385216,0.0068672334859385216
3,42,51,1,0,0,0,0,0,0.020497428245106895,0.020497428245106895,0.0009810333551340746,0.0016350555918901242,0.0016350555918901242,0.0016350555918901242
3,47,51,1,0,0,0,0,0,-0.05620248479611747,-0.05620248479611747,0.006540222367560497,0.007194244604316547,0.007194244604316547,0.007194244604316547
4,1,52,2,0,0,0,0,0,-0.07747819149604403,-0.07747819149604403,0.004905166775670372,0.0035971223021582736,0.004905166775670372,0.004905166775670372
4,4,52,1,0,0,0,0,0,0.05658600543174656,0.05658600543174656,0.0578809679529104,0.059516023544800525,0.059516023544800525,0.059516023544800525
4,11,51,1,0,0,0,0,0,0.21451260389039523,0.21451260389039523,0.005232177894048398,0.005559189012426423,0.004251144538914323,0.005232177894048398
4,17,51,1,0,0,0,0,0,-0.1957116282444889,-0.1957116282444889,0.013407455853499018,0.013407455853499018,0.010464355788096796,0.010464355788096796
4,27,51,1,0,0,0,0,0,0.11926287690567668,0.11926287690567668,0.0016350555918901242,0.0016350555918901242,0.001962066710268149,0.001962066710268149
4,37,51,1,0,0,0,0,0,-0.08802987073714351,-0.08802987073714351,0.008175277959450621,0.007848266841072597,0.0068672334859385216,0.0068672334859385216
4,41,51,2,0,0,0,0,0,0.003965014597585478,0.003965014597585478,0.0016350555918901242,0.0016350555918901242,0.0013080444735120995,0.0016350555918901242
4,45,51,1,0,0,0,0,0,0.25338890404779896,0.25338890404779896,0.003924133420536298,0.0009810333551340746,0.003924133420536298,0.003924133420536298
5,0,52,1,0,0,0,0,0,0.09018532492341487,0.09018532492341487,0.005559189012426423,0.006540222367560497,0.006540222367560497,0.006540222367560497
5,2,52,1,0,1,0,0,0,-0.013275490600605866,-0.013275490600605866,0.0,0.0035971223021582736,0.0016350555918901242,0.0016350555918901242
5,5,52,2,0,0,0,0,0,-0.12154818316522394,-0.12154818316522394,0.0032701111837802484,0.005559189012426423,0.0029431000654022237,0.0029431000654022237
5,10,51,1,0,0,0,0,0,-0.10646156209010613,-0.10646156209010613,0.006540222367560497,0.005886200130804447,0.006213211249182472,0.006213211249182472
5,14,51,1,0,0,0,0,0,-0.07595615398426663,-0.07595615398426663,0.0035971223021582736,0.002616088947024199,0.001962066710268149,0.001962066710268149
5,19,51,1,0,0,0,0,0,-0.0003846949958365697,-0.0003846949958365697,0.016677567037279267,0.017331589274035317,0.017331589274035317,0.017331589274035317
5,26,51,2,0,0,0,0,0,-0.23822619372268136,-0.23822619372268136,0.0035971223021582736,0.0035971223021582736,0.0035971223021582736,0.0035971223021582736
5,32,51,1,0,0,0,0,0,0.32388977921475715,0.32388977921475715,0.004251144538914323,0.0035971223021582736,0.003924133420536298,0.003924133420536298
5,37,51,1,0,0,0,0,0,0.014064965190468265,0.014064965190468265,0.008175277959450621,0.007848266841072597,0.0068672334859385216,0.0068672334859385216
5,42,51,1,0,0,0,0,0,-0.10718106891191488,-0.10718106891191488,0.001962066710268149,0.0016350555918901242,0.001962066710268149,0.0016350555918901242
5,45,51,1,0,0,0,0,0,0.21662986574498175,0.21662986574498175,0.0029431000654022237,0.0035971223021582736,0.001962066710268149,0.001962066710268149
6,0,52,1,0,0,0,1,0,0.11388521519071165,0.11388521519071165,0.005886200130804447,0.005232177894048398,0.0,0.005559189012426423
6,2,52,1,0,0,0,1,1,-0.23073284789794724,-0.23073284789794724,0.001962066710268149,0.001962066710268149,0.0,0.0
6,5,52,2,0,0,0,0,0,-0.1438808299914538,-0.1438808299914538,0.006540222367560497,0.006540222367560497,0.0029431000654022237,0.0029431000654022237
6,10,51,1,0,0,0,0,0,0.03611489526755483,0.03611489526755483,0.006213211249182472,0.005886200130804447,0.006213211249182472,0.006213211249182472
6,15,51,1,0,0,0,1,1,-0.19470980453853717,-0.19470980453853717,0.028122956180510136,0.02877697841726619,0.0,0.0
6,22,51,2,0,0,0,1,1,-0.2996445974698535,-0.2996445974698535,0.002616088947024199,0.001962066710268149,0.0,0.0
6,28,51,1,0,0,0,1,1,-0.033981730035496795,-0.033981730035496795,0.016350555918901243,0.016350555918901243,0.0,0.0
6,35,51,1,0,0,0,0,0,0.1023622726539466,0.1023622726539466,0.0029431000654022237,0.003924133420536298,0.0032701111837802484,0.0032701111837802484
6,38,51,1,0,0,0,0,0,0.20340611931839284,0.20340611931839284,0.004578155657292348,0.0035971223021582736,0.004578155657292348,0.004578155657292348
6,43,51,2,0,1,0,0,0,0.1619110208247081,0.1619110208247081,0.0,0.0013080444735120995,0.0009810333551340746,0.0009810333551340746
7,0,52,1,0,0,0,1,0,-0.1347433168706662,-0.1347433168706662,0.005886200130804447,0.005559189012426423,0.0,0.005559189012426423
7,2,52,1,0,0,0,0,0,-0.116705264083292,-0.116705264083292,0.0029431000654022237,0.002289077828646174,0.001962066710268149,0.001962066710268149
7,4,52,1,0,0,0,0,0,-0.4758944839436997,-0.4758944839436997,0.05853499018966645,0.050359712230215826,0.03106605624591236,0.03106605624591236
7,7,52,1,0,0,0,0,0,0.15111062600902384,0.15111062600902384,0.01962066710268149,0.020274689339437543,0.020601700457815567,0.015369522563767168
7,11,51,2,0,0,0,0,0,0.0443566446824611,0.0443566446824611,0.0035971223021582736,0.004578155657292348,0.004251144538914323,0.0032701111837802484
7,15,51,1,0,0,0,1,1,-0.5338095882734837,-0.5338095882734837,0.028449967298888164,0.028449967298888164,0.0,0.0
7,20,51,1,0,0,0,0,0,-0.011722995504007504,-0.011722995504007504,0.003924133420536298,0.003924133420536298,0.0035971223021582736,0.0035971223021582736
7,25,51,1,0,0,0,0,0,-0.1241268871986402,-0.1241268871986402,0.005886200130804447,0.005886200130804447,0.006540222367560497,0.0029431000654022237
7,32,51,1,0,0,0,0,0,0.02852441787773361,0.02852441787773361,0.004578155657292348,0.004578155657292348,0.004578155657292348,0.004578155657292348
7,36,51,1,0,0,0,0,0,-0.12159500740401108,-0.12159500740401108,0.004905166775670372,0.004905166775670372,0.004905166775670372,0.004905166775670372
7,39,51,1,0,0,0,1,1,-0.015232880664302804,-0.015232880664302804,0.005886200130804447,0.006213211249182472,0.0,0.0
7,43,51,1,0,0,0,0,0,0.08269357607418439,0.08269357607418439,0.023871811641595814,0.024525833878351864,0.024525833878351864,0.024525833878351864
7,46,51,1,0,0,0,0,0,-0.04504104993262424,-0.04504104993262424,0.010137344669718771,0.009810333551340745,0.010137344669718771,0.010137344669718771
8,1,52,1,0,0,0,0,0,-0.2521047971202536,-0.2521047971202536,0.002289077828646174,0.004251144538914323,0.0016350555918901242,0.0016350555918901242
8,3,52,1,0,0,0,0,0,-0.09396430253045952,-0.09396430253045952,0.005232177894048398,0.0068672334859385216,0.001962066710268149,0.001962066710268149
8,6,52,3,0,0,0,0,0,-0.34128429724094966,-0.34128429724094966,0.005886200130804447,0.005886200130804447,0.005559189012426423,0.005559189012426423
8,10,51,1,0,0,0,0,0,-0.22892687897697087,-0.22892687897697087,0.005232177894048398,0.005232177894048398,0.0032701111837802484,0.0032701111837802484
8,13,51,1,0,0,0,0,0,-0.3910909344166839,-0.3910909344166839,0.006213211249182472,0.006213211249182472,0.004578155657292348,0.004578155657292348
8,17,51,1,0,0,0,0,0,-0.31414760658743257,-0.31414760658743257,0.014061478090255068,0.014388489208633094,0.012753433616742969,0.012753433616742969
8,21,51,1,0,0,0,0,0,-0.003848637354928074,-0.003848637354928074,0.004251144538914323,0.004578155657292348,0.005232177894048398,0.005232177894048398
8,25,51,1,0,0,0,0,0,-0.09928241032709419,-0.09928241032709419,0.006540222367560497,0.006540222367560497,0.006540222367560497,0.0029431000654022237
8,32,51,1,0,0,0,0,0,-0.1654987171904897,-0.1654987171904897,0.003924133420536298,0.004251144538914323,0.004251144538914323,0.004251144538914323
8,36,51,1,0,0,0,0,0,-0.20741238392635564,-0.20741238392635564,0.003924133420536298,0.004578155657292348,0.004251144538914323,0.0016350555918901242
8,39,51,1,0,0,0,1,1,-0.09767020496532713,-0.09767020496532713,0.006213211249182472,0.006213211249182472,0.0,0.0
8,42,51,1,0,0,0,0,0,-0.29761887645161345,-0.29761887645161345,0.004251144538914323,0.004578155657292348,0.004578155657292348,0.004578155657292348
8,47,51,1,0,0,0,0,0,-0.06342696579883228,-0.06342696579883228,0.005559189012426423,0.005559189012426423,0.005559189012426423,0.005559189012426423
9,1,52,1,0,0,0,0,0,-0.3625620866134022,-0.3625620866134022,0.003924133420536298,0.004905166775670372,0.0016350555918901242,0.0016350555918901242
9,4,52,1,0,0,0,0,0,-0.22376752585773982,-0.22376752585773982,0.05755395683453238,0.03106605624591236,0.03106605624591236,0.03106605624591236
9,7,52,1,0,0,0,0,0,-0.2777395977635827,-0.2777395977635827,0.019293655984303465,0.019947678221059514,0.015369522563767168,0.015369522563767168
9,12,51,2,0,0,0,1,1,-0.1454884913382519,-0.1454884913382519,0.004578155657292348,0.004578155657292348,0.0,0.0
9,15,51,1,0,0,0,1,1,-0.40738874736664865,-0.40738874736664865,0.026160889470241987,0.02485284499672989,0.0,0.0
9,19,51,1,0,0,0,0,0,-0.11055169188425608,-0.11055169188425608,0.016023544800523218,0.015696533682145193,0.015369522563767168,0.015369522563767168
9,24,51,1,0,0,0,0,0,-0.07221638278686676,-0.07221638278686676,0.0029431000654022237,0.004905166775670372,0.004578155657292348,0.004578155657292348
9,27,51,1,0,0,0,0,0,0.064033687027941,0.064033687027941,0.0029431000654022237,0.002616088947024199,0.003924133420536298,0.0035971223021582736
9,31,51,1,0,0,0,0,0,-0.2602973616715624,-0.2602973616715624,0.01144538914323087,0.01144538914323087,0.001962066710268149,0.001962066710268149
9,35,51,1,0,0,0,0,0,-0.22676844283833938,-0.22676844283833938,0.008502289077828646,0.008502289077828646,0.005559189012426423,0.005559189012426423
9,37,51,1,0,0,0,0,0,-0.34099668937527255,-0.34099668937527255,0.0068672334859385216,0.004905166775670372,0.0068672334859385216,0.0068672334859385216
9,40,51,1,0,0,1,0,0,0.1828486937409157,0.1828486937409157,0.002289077828646174,0.0,0.002616088947024199,0.0016350555918901242
9,42,51,1,0,0,0,0,0,-0.2745622144438307,-0.2745622144438307,0.004251144538914323,0.004251144538914323,0.0035971223021582736,0.0035971223021582736
9,45,51,1,0,0,0,0,0,-0.2551284301630486,-0.2551284301630486,0.003924133420536298,0.005232177894048398,0.005232177894048398,0.005232177894048398
10,0,52,1,0,0,0,1,0,0.04071952370215526,0.04071952370215526,0.004578155657292348,0.004905166775670372,0.0,0.004578155657292348
10,1,52,1,0,0,0,0,0,-0.36323784069301845,-0.36323784069301845,0.004578155657292348,0.004578155657292348,0.0016350555918901242,0.0016350555918901242
10,4,52,1,0,0,0,0,0,-0.3480756355449572,-0.3480756355449572,0.05755395683453238,0.05755395683453238,0.03106605624591236,0.03106605624591236
10,6,52,4,0,0,0,0,0,-0.31138524891621044,-0.31138524891621044,0.005232177894048398,0.005232177894048398,0.0032701111837802484,0.0032701111837802484
10,10,51,1,0,0,0,0,0,-0.4934255525468178,-0.4934255525468178,0.004905166775670372,0.004578155657292348,0.0032701111837802484,0.0032701111837802484
10,13,51,1,0,0,0,0,0,-0.25461943068058096,-0.25461943068058096,0.005559189012426423,0.005559189012426423,0.004578155657292348,0.004578155657292348
10,18,51,1,0,0,0,0,0,-0.11169894111107914,-0.11169894111107914,0.006540222367560497,0.006540222367560497,0.004905166775670372,0.004905166775670372
10,22,51,1,0,0,0,0,0,-0.2809323295485205,-0.2809323295485205,0.01144538914323087,0.01144538914323087,0.010137344669718771,0.010137344669718771
10,25,51,1,0,0,0,0,0,-0.354368408036803,-0.354368408036803,0.008502289077828646,0.008175277959450621,0.005559189012426423,0.005559189012426423
10,29,51,1,0,0,0,0,0,-0.023514073362740306,-0.023514073362740306,0.0035971223021582736,0.0035971223021582736,0.0035971223021582736,0.0035971223021582736
10,33,51,1,0,0,0,0,0,-0.23736455723525354,-0.23736455723525354,0.012426422498364944,0.017331589274035317,0.01831262262916939,0.01831262262916939
10,36,51,1,0,0,0,0,0,0.013344789944941487,0.013344789944941487,0.0035971223021582736,0.0035971223021582736,0.003924133420536298,0.0016350555918901242
10,38,51,1,0,0,0,0,0,-0.17445912873898167,-0.17445912873898167,0.0032701111837802484,0.0032701111837802484,0.0029431000654022237,0.0029431000654022237
10,41,51,1,0,0,0,0,0,-0.041754316627934315,-0.041754316627934315,0.010137344669718771,0.010137344669718771,0.006213211249182472,0.006213211249182472
10,43,51,1,0,0,0,0,0,-0.10347554082040265,-0.10347554082040265,0.002616088947024199,0.002616088947024199,0.0029431000654022237,0.0016350555918901242
10,46,51,1,0,0,0,1,1,0.10847849094627143,0.10847849094627143,0.008175277959450621,0.009156311314584695,0.0,0.0
11,0,52,1,0,0,0,1,0,0.08976312914082456,0.08976312914082456,0.004251144538914323,0.004578155657292348,0.0,0.004578155657292348
11,2,52,1,0,0,0,0,0,-0.14026416621446264,-0.14026416621446264,0.001962066710268149,0.002289077828646174,0.001962066710268149,0.001962066710268149
11,4,52,1,0,0,0,0,0,-0.33737293026527,-0.33737293026527,0.05722694571615435,0.05722694571615435,0.03106605624591236,0.03106605624591236
11,7,52,1,0,0,0,0,0,-0.3431615149274196,-0.3431615149274196,0.019293655984303465,0.01896664486592544,0.015369522563767168,0.015369522563767168
11,10,51,1,0,0,0,0,0,-0.1997785925712758,-0.1997785925712758,0.0032701111837802484,0.004578155657292348,0.0032701111837802484,0.0032701111837802484
11,13,51,1,0,0,0,0,0,-0.14199808582628726,-0.14199808582628726,0.004905166775670372,0.005232177894048398,0.004578155657292348,0.004578155657292348
11,16,51,1,0,0,0,0,1,0.1699267519127619,0.1699267519127619,0.001962066710268149,0.0035971223021582736,0.001962066710268149,0.0
11,19,51,1,0,0,0,0,0,-0.01784288221091774,-0.01784288221091774,0.012426422498364944,0.015369522563767168,0.015369522563767168,0.015369522563767168
11,23,51,1,0,0,0,0,0,0.2514672581504448,0.2514672581504448,0.019947678221059514,0.020928711576193592,0.021909744931327666,0.021909744931327666
11,25,51,1,0,0,0,0,0,-0.22096133919120547,-0.22096133919120547,0.007848266841072597,0.008175277959450621,0.005559189012426423,0.005559189012426423
11,28,51,1,0,0,0,1,1,-0.11626686856864865,-0.11626686856864865,0.01144538914323087,0.014061478090255068,0.0,0.0
11,32,51,1,0,0,0,0,0,0.001882221171028854,0.001882221171028854,0.005232177894048398,0.005559189012426423,0.0032701111837802484,0.0032701111837802484
